player,startedwith,track,mae-X,mae-Y,mae-Z
ID1,3D,Percussions (ID1),0.15331905327171588,0.15730880842009332,0.08745209412516658
ID1,3D,Xylophone (ID3),0.122137107921811,0.07420558944162282,0.19251335466646685
ID1,3D,Texture (ID5),0.24773006727635855,0.2767381920794802,0.15329419856151924
ID1,3D,Brass (ID7),0.16169007204001273,0.19033037283808965,0.07307765583624008
ID1,3D,Voice (ID9),0.003553832382284205,0.011946506076450366,0.1430969950240382
ID2,2D,Percussions (ID1),0.19224603262769802,0.5256653509755542,0.03742578555039863
ID2,2D,Xylophone (ID3),0.2509934325700619,0.30795848184121094,0.08855285889426551
ID2,2D,Texture (ID5),0.2441675491984879,0.14385726823557712,0.034736479314788696
ID2,2D,Brass (ID7),0.25750491650504725,0.2619282101609054,0.0712942329502184
ID2,2D,Voice (ID9),0.009979336393321244,0.11978643538379408,0.0465757931687057
ID3,3D,Percussions (ID1),0.23882627189356978,0.22445824075979745,0.17320688636548803
ID3,3D,Xylophone (ID3),0.08219002850864231,0.09872841309827193,0.054857132108859806
ID3,3D,Texture (ID5),0.14074915808604943,0.09231774315463112,0.08703372973824253
ID3,3D,Brass (ID7),0.25670071454402577,0.1558096165564218,0.1779866843677462
ID3,3D,Voice (ID9),0.19683271109060185,0.06799915776392575,0.20979361146866182
ID4,2D,Percussions (ID1),0.16901531797404265,0.18049853582170397,0.2433187596881864
ID4,2D,Xylophone (ID3),0.04436861999999996,0.04095565999999995,0.2534914612367805
ID4,2D,Texture (ID5),0.0,0.025270759999999944,0.6851811779308836
ID4,2D,Brass (ID7),0.04337649785210151,0.0528207742893617,0.2621668874080343
ID4,2D,Voice (ID9),0.15907445648203594,0.027238389715715017,0.06942197414954046
ID5,3D,Percussions (ID1),0.013835385065961128,0.002329730212162276,0.05007904297241287
ID5,3D,Xylophone (ID3),0.2427235558540263,0.12073066387707863,0.17969119401156233
ID5,3D,Texture (ID5),0.20873816902234715,0.20500388703828165,0.21122514393416036
ID5,3D,Brass (ID7),0.20455083943068508,0.13159649652686067,0.1431553961113007
ID5,3D,Voice (ID9),0.254660970946711,0.148541414504426,0.08939884853439228
ID6,2D,Percussions (ID1),0.2310500737505986,0.15955439995398865,0.20152394508237598
ID6,2D,Xylophone (ID3),0.22511938227910339,0.19211132535223147,0.18162679701109719
ID6,2D,Texture (ID5),0.22947324669728977,0.171861236577819,0.2723891103231126
ID6,2D,Brass (ID7),0.4129363409007127,0.2692653973298784,0.4888954099187637
ID6,2D,Voice (ID9),0.2486140553137376,0.17359084204070677,0.24950263873410142
ID7,3D,Percussions (ID1),0.3419836694984637,0.213999350062242,0.19420622434959148
ID7,3D,Xylophone (ID3),0.20154153160466,0.1772336714359114,0.158132359966806
ID7,3D,Texture (ID5),0.28854300166701013,0.3237223357972085,0.19143124078315948
ID7,3D,Brass (ID7),0.07765422741136921,0.25441514620943884,0.10810051484468346
ID7,3D,Voice (ID9),0.2006528379088842,0.2125554516831932,0.1535138316434554
ID8,2D,Percussions (ID1),0.22281985397703716,0.1995800461368969,0.14202785190354617
ID8,2D,Xylophone (ID3),0.11720170686619165,0.20051502014343622,0.07180103642343179
ID8,2D,Texture (ID5),0.26344634874790823,0.20976793388577078,0.16602763837954904
ID8,2D,Brass (ID7),0.3639577704712268,0.12999604673751233,0.10272582028052615
ID8,2D,Voice (ID9),0.0641023693058513,0.05801836204007402,0.12091800870469192
ID9,3D,Percussions (ID1),0.16781176434149775,0.18593884762339558,0.01579165831693901
ID9,3D,Xylophone (ID3),0.243927486695166,0.2667590218182637,0.15450828375828307
ID9,3D,Texture (ID5),0.1604246439079679,0.32091890307013354,0.3173531102462091
ID9,3D,Brass (ID7),0.3085645874953897,0.0851990579906157,0.029812074344281757
ID9,3D,Voice (ID9),0.08455497593054814,0.15590922305060906,0.46040024139897345
ID10,2D,Percussions (ID1),0.0,0.0,0.0
ID10,2D,Xylophone (ID3),0.07520475573501166,0.08388691328984424,0.1393339498398605
ID10,2D,Texture (ID5),0.11119100500655775,0.1106882082590239,0.129225455031389
ID10,2D,Brass (ID7),0.2532342333158936,0.20759479421950994,0.07137484089758735
ID10,2D,Voice (ID9),0.17334701753914425,0.08515968084879383,0.07968946002406178
ID11,3D,Percussions (ID1),0.08540608792137278,0.26471822670818146,0.1822299564018978
ID11,3D,Xylophone (ID3),0.3092884264151424,0.2526179044085158,0.14109293878199416
ID11,3D,Texture (ID5),0.1952902744343433,0.2355796640635762,0.12172319976559859
ID11,3D,Brass (ID7),0.2829872700547296,0.33416401595051626,0.3117538793668792
ID11,3D,Voice (ID9),0.24523563032003556,0.3292176028240177,0.2905402273864669
ID12,2D,Percussions (ID1),0.11209730149873129,0.0951636289746379,0.09516187205224848
ID12,2D,Xylophone (ID3),0.12343501151398954,0.08214685362548094,0.12282285023217371
ID12,2D,Texture (ID5),0.21310378456647788,0.21496121036496987,0.0814006033561048
ID12,2D,Brass (ID7),0.2042457367155953,0.1707331422322407,0.1483525441831988
ID12,2D,Voice (ID9),0.06856856349946228,0.7561084110884876,0.47315620764196265
