Participant,startedwith,Track,QoM_2D,QoM_3D
ID1,3D-first,Brass (ID7),6.050004907601194,3.7043218144069185
ID1,3D-first,Percussions (ID1),8.676895096353737,4.68513982243311
ID1,3D-first,Texture (ID5),12.745615780581996,4.823355786988576
ID1,3D-first,Voice (ID9),7.355678079861232,3.326783734687334
ID1,3D-first,Xylophone (ID3),4.185002903785499,3.8518426104233825
ID2,2D-first,Percussions (ID1),6.649451314394001,6.969362970824525
ID2,2D-first,Texture (ID5),11.328130481684052,6.2633035660582745
ID2,2D-first,Voice (ID9),0.0,0.010755001168368535
ID2,2D-first,Brass (ID7),14.92919621807416,12.25748957710176
ID2,2D-first,Xylophone (ID3),6.8542903379651525,14.624574157877301
ID3,3D-first,Texture (ID5),14.58269194285285,17.820552116237934
ID3,3D-first,Brass (ID7),11.815683376804195,14.508170228963815
ID3,3D-first,Percussions (ID1),2.489234994093338,4.901144885365886
ID3,3D-first,Voice (ID9),6.6856347610668365,3.4482231082856902
ID3,3D-first,Xylophone (ID3),4.08708667844517,4.186533355120112
ID4,2D-first,Brass (ID7),13.496136976976896,18.87659680502674
ID4,2D-first,Percussions (ID1),11.933619579906752,35.32497825316294
ID4,2D-first,Xylophone (ID3),0.0,0.02492895398403841
ID4,2D-first,Voice (ID9),1.452886780144884,0.8322935249708607
ID4,2D-first,Texture (ID5),0.49011856,0.02615208536224231
ID5,3D-first,Brass (ID7),9.123401684916978,6.5490400581219195
ID5,3D-first,Voice (ID9),2.7564314426006726,2.1635439887902024
ID5,3D-first,Texture (ID5),18.986395861558506,21.179080571730736
ID5,3D-first,Percussions (ID1),0.0,0.847077520200403
ID5,3D-first,Xylophone (ID3),5.6168263363836335,8.417393567618255
ID6,2D-first,Texture (ID5),8.36173019900189,23.175616603753987
ID6,2D-first,Percussions (ID1),11.13014371131279,6.589058449640204
ID6,2D-first,Xylophone (ID3),3.788768592088977,19.629151804667906
ID6,2D-first,Voice (ID9),1.7091770014785541,8.8120252090071
ID6,2D-first,Brass (ID7),21.68121586765966,20.377606387478238
ID7,3D-first,Brass (ID7),4.886236634834314,6.506190687312974
ID7,3D-first,Percussions (ID1),9.376572424934114,14.098247443286246
ID7,3D-first,Voice (ID9),6.46075436054698,13.634535638826575
ID7,3D-first,Xylophone (ID3),17.63823223157995,23.191424303344917
ID7,3D-first,Texture (ID5),8.842283881948424,7.01415370501642
ID8,2D-first,Brass (ID7),3.4115247570824536,4.543557217272488
ID8,2D-first,Texture (ID5),2.2718114440492023,5.299417422433922
ID8,2D-first,Voice (ID9),2.7821474605007936,3.24692771081636
ID8,2D-first,Xylophone (ID3),3.0568268438070736,8.307364277206881
ID8,2D-first,Percussions (ID1),3.574691661078382,6.2502207183384835
ID9,3D-first,Percussions (ID1),7.673466934578085,2.5227514267300992
ID9,3D-first,Texture (ID5),9.159481273557098,7.415869281473806
ID9,3D-first,Voice (ID9),2.833872807012831,1.3317772972473427
ID9,3D-first,Xylophone (ID3),41.883230875921484,13.140162988920958
ID9,3D-first,Brass (ID7),4.361046268531832,1.975740067266416
ID10,2D-first,Percussions (ID1),0.0,0.0
ID10,2D-first,Texture (ID5),3.5906418839311973,5.1084787741553015
ID10,2D-first,Brass (ID7),3.4919313390631066,3.150771870771894
ID10,2D-first,Voice (ID9),2.189769211571733,4.210186262320204
ID10,2D-first,Xylophone (ID3),1.35943630654311,3.7781995354693545
ID11,3D-first,Brass (ID7),11.202925413696798,3.4799923640830057
ID11,3D-first,Percussions (ID1),3.3381603623047904,3.888201449269065
ID11,3D-first,Xylophone (ID3),7.016702094067443,4.054150806172996
ID11,3D-first,Texture (ID5),3.423613667287862,5.971607196995552
ID11,3D-first,Voice (ID9),3.904349597356053,3.6366110243924057
ID12,2D-first,Brass (ID7),5.685440916926157,6.354209758180517
ID12,2D-first,Xylophone (ID3),0.0,7.792450412199601
ID12,2D-first,Voice (ID9),4.46810136269313,7.64401903485665
ID12,2D-first,Texture (ID5),2.5708573186059898,2.349430197010355
ID12,2D-first,Percussions (ID1),12.061505544571919,5.081147750378246
